良	liang2	good / very / very much	li	ang2	丶艮
艮	gen3	blunt / tough / chewy	g	(e)n3	
艮	gen4	one of the Eight Trigrams 八卦[ba1 gua4], symbolizing mountain / ☶	g	(e)n4	
阝					
郎	lang2	(arch.) minister / official / noun prefix denoting function or status / a youth	l	ang2	良阝
乢	gai4	ancient variant of 蓋|盖[gai4] / ancient variant of 丐[gai4]	g	ai4	乚山
乣	jiu3	archaic variant of 糺[jiu3]	ji	ou3	乚幺
乤	xx5	first character in place name 乤浦 "Halpho" (Korean gugja)			下乙
乥	xx5	one of the characters used in kwukyel (phonetic "hol"), an ancient Korean writing system			乊乙
書	shu1	abbr. for 書經|书经[Shu1 jing1]	shu	Ø1	日聿
书	shu1	abbr. for 書經|书经[Shu1 jing1]	shu	Ø1	
聿	yu4	(arch. introductory particle) / then / and then	yu	Ø4	二肀
肀					
書	shu1	book / letter / document / CL:本[ben3],冊|册[ce4],部[bu4] / to write	shu	Ø1	日聿
书	shu1	book / letter / document / CL:本[ben3],冊|册[ce4],部[bu4] / to write	shu	Ø1	
乧	xx5	archaic Korean hanja pronounced dul, phonetic 斗 du plus 乙 ul			乙斗
斗	dou3	abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1]	d	ou3	⺀十
斗	dou3	dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4] / decaliter / peck / cup or dipper shaped object / old variant of 陡[dou3]	d	ou3	⺀十
鬥	dou4	to fight / to struggle / to condemn / to censure / to contend / to put together / coming together	d	ou4	
斗	dou4	to fight / to struggle / to condemn / to censure / to contend / to put together / coming together	d	ou4	⺀十
鬦	dou4	variant of 鬭|斗[dou4]	d	ou4	斗鬥
斗	dou4	variant of 鬭|斗[dou4]	d	ou4	⺀十
鬪	dou4	variant of 鬥|斗[dou4]	d	ou4	鬥
斗	dou4	variant of 鬥|斗[dou4]	d	ou4	⺀十
鬭	dou4	variant of 鬥|斗[dou4]	d	ou4	斲鬥
斗	dou4	variant of 鬥|斗[dou4]	d	ou4	⺀十
斲					𠁁斤
乨	shi3	archaic variant of 始[shi3]	sh	Ø3	乚合
合	ge3	100 ml / one-tenth of a peck / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗	g	e3	亼口
亼	ji2	variant of 集[ji2]	ji	Ø2	一人
合	he2	to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒[he2]	h	e2	亼口
閤	he2	variant of 合[he2]	h	e2	合門
合	he2	variant of 合[he2]	h	e2	亼口
門					
乩	ji1	to divine	ji	Ø1	乚占
佔	zhan4	variant of 占[zhan4]	zh	an4	亻占
占	zhan4	variant of 占[zhan4]	zh	an4	⺊口
⺊					
占	zhan1	to observe / to divine	zh	an1	⺊口
占	zhan4	to take possession of / to occupy / to take up	zh	an4	⺊口
乪	nang1	a bend in a river (Cantonese)	n	ang1	乙田
田	tian2	surname Tian	ti	an2	⺆土
田	tian2	field / farm / CL:片[pian4]	ti	an2	⺆土
乫	xx5	phonetic "gal" used in place names (Korean gugja)			乙加
加	jia1	abbr. for Canada 加拿大[Jia1 na2 da4]	ji	a1	力口
加	jia1	to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)	ji	a1	力口
乭	shi2	rock / phonetic "dol" used in names (Korean kugja)	sh	Ø2	乙石
石	shi2	surname Shi	sh	Ø2	丆口
石	dan4	dry measure for grain equal to ten dou 斗 / ten pecks / one hundred liters	d	an4	丆口
石	shi2	rock / stone / stone inscription / one of the eight ancient musical instruments 八音[ba1 yin1]	sh	Ø2	丆口
買	mai3	to buy / to purchase	m	ai3	罒貝
买	mai3	to buy / to purchase	m	ai3	㇖头
㇖					
頭	tou2	head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL:個|个[ge4]	t	ou2	豆頁
头	tou2	head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL:個|个[ge4]	t	ou2	⺀大
大	da4	big / huge / large / major / great / wide / deep / older (than) / oldest / eldest / greatly / very much / (dialect) father / father's elder or younger brother	d	a4	
大	dai4	see 大夫[dai4 fu5]	d	ai4	
頁					丆貝
頭	tou5	suff. for nouns	t	ou5	豆頁
头	tou5	suff. for nouns	t	ou5	⺀大
罒	wang3	net (Kangxi radical 122)	w	ang3	
貝					八目
亂	luan4	in confusion or disorder / in a confused state of mind / disorder / upheaval / riot / illicit sexual relations / to throw into disorder / to mix up / indiscriminate / random / arbitrary	lu	an4	乚又爫
乱	luan4	in confusion or disorder / in a confused state of mind / disorder / upheaval / riot / illicit sexual relations / to throw into disorder / to mix up / indiscriminate / random / arbitrary	lu	an4	乚舌
舌	she2	tongue	sh	e2	千口
乳	ru3	breast / milk	ru	Ø3	乚孚
孚	fu2	to trust / to believe in	fu	Ø2	孑爫
孑	jie2	alone / mosquito larvae / small	ji	e2	
乴	xue2	to grasp	xu	e2	乙折
折	she2	to break (e.g. stick or bone) / a loss	sh	e2	扌斤
斤	jin1	catty / weight equal to 0.5 kg	ji	(e)n1	⺁丅
⺁					
折	zhe1	to turn sth over / to turn upside down / to tip sth out (of a container)	zh	e1	扌斤
折	zhe2	to break / to fracture / to snap / to suffer loss / to bend / to twist / to turn / to change direction / convinced / to convert into (currency) / discount / rebate / tenth (in price) / classifier for theatrical scenes / to fold / accounts book	zh	e2	扌斤
摺	zhe2	variant of 折[zhe2] / to fold	zh	e2	扌習
折	zhe2	variant of 折[zhe2] / to fold	zh	e2	扌斤
乵	yan3	archaic variant of 進|进[jin4]	y	an3	乚辛
辛	xin1	surname Xin	xi	(e)n1	十立
立	li4	surname Li	li	Ø4	䒑亠
立	li4	to stand / to set up / to establish / to lay down / to draw up / at once / immediately	li	Ø4	䒑亠
辛	xin1	(of taste) hot or pungent / hard / laborious / suffering / eighth in order / eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / letter "H" or roman "VIII" in list "A, B, C", or "I, II, III" etc / octa	xi	(e)n1	十立
乶	fu3	phonetic pol, used in Korean place name / see Polha 乶下[Fu3 xia4], Korean place name in former Hamgyeongdo Province 咸鏡道|咸镜道[Xian2 jing4 dao4]	fu	Ø3	乙甫
甫	fu3	(classical) barely just / just now	fu	Ø3	丶十月
月	yue4	moon / month / CL:個|个[ge4],輪|轮[lun2]	yu	e4	⺆二
乷	xx5	phonetic "sal" (Korean gugja)			乙沙
沙	sha1	surname Sha	sh	a1	少氵
少	shao3	few / less / to lack / to be missing / to stop (doing sth) / seldom	sh	ao3	丿小
少	shao4	young	sh	ao4	丿小
氵	shui3	"water" radical in Chinese characters (Kangxi radical 85), occurring in 没, 法, 流 etc / see also 三點水|三点水[san1 dian3 shui3]	shu	ei3	⺀
沙	sha1	granule / hoarse / raspy / sand / powder / CL:粒[li4] / abbr. for Tsar or Tsarist Russia	sh	a1	少氵
乸	na3	feminine suffix (Cantonese) / postfix indicating feminine	n	a3	也母
母	mu3	mother / elderly female relative / origin / source / (of animals) female	mu	Ø3	
乺	xx5	phonetic "sol" used in place names (Korean gugja)			乙所
所	suo3	actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL:個|个[ge4]	su	o3	戶斤
戶					丿尸
乼	xx5	rope (Korean gugja)			乙注
注	zhu4	to inject / to pour into / to concentrate / to pay attention / stake (gambling) / classifier for sums of money / variant of 註|注[zhu4]	zhu	Ø4	主氵
註	zhu4	to register / to annotate / note / comment	zhu	Ø4	主言
注	zhu4	to register / to annotate / note / comment	zhu	Ø4	主氵
言	yan2	words / speech / to say / to talk	y	an2	
乿	luan4	archaic variant of 亂|乱[luan4]	lu	an4	乚爫糸
乿	zhi4	archaic variant of 治[zhi4]	zh	Ø4	乚爫糸
亀	gui1	old variant of 龜|龟[gui1]	gu	ei1	田电
					
電	dian4	electric / electricity / electrical	di	an4	电雨
电	dian4	electric / electricity / electrical	di	an4	乚曰
雨	yu3	rain / CL:陣|阵[zhen4],場|场[chang2]	yu	Ø3	
雨	yu4	to rain / (of rain, snow etc) to fall / to precipitate / to wet	yu	Ø4	
亃	lin2	mythical animal, said to have yellow body and white tail	li	(e)n2	乚粦
粦					米舛
亄	yi4	covetous / greedy / stingy	y	Ø4	乚壹
壹	yi1	one (banker's anti-fraud numeral)	y	Ø1	土
了	le5	(modal particle intensifying preceding clause) / (completed action marker)	l	e5	乛亅
了	liao3	to finish / to achieve / to understand	li	ao3	乛亅
瞭	liao3	(of eyes) bright / clear-sighted / to understand clearly	li	ao3	尞目
了	liao3	(of eyes) bright / clear-sighted / to understand clearly	li	ao3	乛亅
尞					小昚
目	mu4	eye / item / section / list / catalogue / table of contents / order (taxonomy) / goal / name / title	mu	Ø4	二口
亇	ge4	variant of 個|个[ge4]	g	e4	亅
予	yu2	(archaic) I / me	yu	Ø2	丁
予	yu3	to give	yu	Ø3	丁
爭	zheng1	to strive for / to vie for / to argue or debate / deficient or lacking (dialect) / how or what (literary)	zh	(e)ng1	爫肀
争	zheng1	to strive for / to vie for / to argue or debate / deficient or lacking (dialect) / how or what (literary)	zh	(e)ng1	肀
事	shi4	matter / thing / item / work / affair / CL:件[jian4],樁|桩[zhuang1]	sh	Ø4	
虧	kui1	deficiency / deficit / luckily	ku	ei1	亏雐
亏	kui1	deficiency / deficit / luckily	ku	ei1	㇉二
雐					虍隹
亐	yu2	archaic variant of 于[Yu2]	yu	Ø2	㇉二
云	yun2	(classical) to say	yu	(e)n2	二厶
雲	yun2	surname Yun / abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]	yu	(e)n2	云雨
云	yun2	surname Yun / abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]	yu	(e)n2	二厶
雲	yun2	cloud / CL:朵[duo3]	yu	(e)n2	云雨
云	yun2	cloud / CL:朵[duo3]	yu	(e)n2	二厶
互	hu4	mutual	hu	Ø4	一彑
彑	ji4	variant of 彐[ji4]	ji	Ø4	
亓	qi2	surname Qi	qi	Ø2	丨丿二
亓	qi2	his / her / its / their	qi	Ø2	丨丿二
五	wu3	five / 5	w	Ø3	
亖	si4	old variant of 四[si4]	s	Ø4	二
亙	gen4	extending all the way across / running all the way through	g	(e)n4	二月
亘	gen4	extending all the way across / running all the way through	g	(e)n4	二日
些	xie1	some / few / several / measure word indicating a small amount or small number (greater than 1)	xi	e1	二此
此	ci3	this / these	c	Ø3	匕止
止	zhi3	to stop / to prohibit / until / only	zh	Ø3	⺊丄
亜	ya4	Japanese variant of 亞|亚	y	a4	
亝	qi2	old variant of 齊|齐[qi2]	qi	Ø2	二厽
厽					厶
亟	ji2	urgent	ji	Ø2	二勹又口
亟	qi4	repeatedly / frequently	qi	Ø4	二勹又口
亢	kang4	surname Kang / Kang, one of the 28 constellations	k	ang4	亠几
几	ji1	small table	ji	Ø1	
幾	ji1	almost	ji	Ø1	人幺戈
几	ji1	almost	ji	Ø1	
幾	ji3	how much / how many / several / a few	ji	Ø3	人幺戈
几	ji3	how much / how many / several / a few	ji	Ø3	
亢	kang4	high / overbearing / excessive	k	ang4	亠几
交	jiao1	to hand over / to deliver / to pay (money) / to turn over / to make friends / to intersect (lines)	ji	ao1	乂六
六	liu4	six / 6	li	ou4	亠八
亥	hai4	12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar	h	ai4	亠人
亦	yi4	also	y	Ø4	
產	chan3	to give birth / to reproduce / to produce / product / resource / estate / property	ch	an3	产生
产	chan3	to give birth / to reproduce / to produce / product / resource / estate / property	ch	an3	厂立
生	sheng1	to be born / to give birth / life / to grow / raw / uncooked / student	sh	(e)ng1	一牛
牛	niu2	surname Niu	ni	ou2	
牛	niu2	ox / cow / bull / CL:條|条[tiao2],頭|头[tou2] / (slang) awesome	ni	ou2	
亨	heng1	prosperous / henry (unit of inductance)	h	(e)ng1	了亠口
畂	mu3	old variant of 畝|亩[mu3]	mu	Ø3	久田
亩	mu3	old variant of 畝|亩[mu3]	mu	Ø3	亠田
畆	mu3	old variant of 畝|亩[mu3]	mu	Ø3	亩厶
亩	mu3	old variant of 畝|亩[mu3]	mu	Ø3	亠田
畝	mu3	classifier for fields / unit of area equal to one fifteenth of a hectare	mu	Ø3	久亩
亩	mu3	classifier for fields / unit of area equal to one fifteenth of a hectare	mu	Ø3	亠田
畮	mu3	old variant of 畝|亩[mu3]	mu	Ø3	每田
亩	mu3	old variant of 畝|亩[mu3]	mu	Ø3	亠田
每	mei3	each / every	m	ei3	𠂉母
亪	xx5	one of the characters used in kwukyel (phonetic "ye"), an ancient Korean writing system			乁亦
享	xiang3	to enjoy / to benefit / to have the use of	xi	ang3	亠口子
子	zi3	son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]	z	Ø3	
子	zi5	(noun suffix)	z	Ø5	
亯	xiang3	old variant of 享[xiang3]	xi	ang3	亠口日
享	xiang3	old variant of 享[xiang3]	xi	ang3	亠口子
京	jing1	abbr. for Beijing / surname Jing / Jing ethnic minority	ji	(e)ng1	亠口小
京	jing1	capital city of a country / big / algebraic term for a large number (old) / artificial mound (old)	ji	(e)ng1	亠口小
亭	ting2	pavilion / booth / kiosk / erect	ti	(e)ng2	丁亠口
亮	liang4	bright / clear / resonant / to shine / to show / to reveal	li	ang4	亠儿口
亱					亠但
親	qin1	parent / one's own (flesh and blood) / relative / related / marriage / bride / close / intimate / in person / first-hand / in favor of / pro- / to kiss	qi	(e)n1	亲見
亲	qin1	parent / one's own (flesh and blood) / relative / related / marriage / bride / close / intimate / in person / first-hand / in favor of / pro- / to kiss	qi	(e)n1	朩立
見					儿目
親	qing4	parents-in-law of one's offspring	qi	(e)ng4	亲見
亲	qing4	parents-in-law of one's offspring	qi	(e)ng4	朩立
亳	bo2	name of district in Anhui / capital of Yin	b	o2	乇亠口
褻	xie4	licentious	xi	e4	埶衣
亵	xie4	licentious	xi	e4	执衣
執	zhi2	to execute (a plan) / to grasp	zh	Ø2	丸幸
执	zhi2	to execute (a plan) / to grasp	zh	Ø2	丸扌
倖	xing4	trusted / intimate / (of the emperor) to visit / variant of 幸[xing4]	xi	(e)ng4	亻幸
幸	xing4	trusted / intimate / (of the emperor) to visit / variant of 幸[xing4]	xi	(e)ng4	𢆉土
幸	xing4	surname Xing	xi	(e)ng4	𢆉土
幸	xing4	fortunate / lucky	xi	(e)ng4	𢆉土
衣	yi1	clothes / CL:件[jian4]	y	Ø1	𧘇亠
𧘇					
衣	yi4	to dress / to wear / to put on (clothes)	y	Ø4	𧘇亠
埶	yi4	skill / art	y	Ø4	丸坴
坴	lu4	a clod of earth / land	lu	Ø4	土圥
圥					儿土
亶	dan3	surname Dan	d	an3	亠
亶	dan3	sincere	d	an3	亠
亷					产兼
嚲	duo3	hang down	du	o3	享單
亸	duo3	hang down	du	o3	享单
單	shan4	surname Shan	sh	an4	一口甲
单	shan4	surname Shan	sh	an4	八十田
單	dan1	bill / list / form / single / only / sole / odd number / CL:個|个[ge4]	d	an1	一口甲
单	dan1	bill / list / form / single / only / sole / odd number / CL:個|个[ge4]	d	an1	八十田
亹	men2	mountain pass / defile (archaic)	m	(e)n2	亠舋
舋	xin4	variant of 釁|衅 / quarrel / dispute / a blood sacrifice (arch.)	xi	(e)n4	且同臼
亹	wei3	resolute	w	ei3	亠舋
亽	ji2	archaic variant of 亼[ji2]	ji	Ø2	丶人
亽	xx5	one of the characters used in kwukyel (phonetic "ra"), an ancient Korean writing system			丶人
億	yi4	100 million	y	Ø4	亻意
亿	yi4	100 million	y	Ø4	乙亻
意	yi4	Italy / Italian / abbr. for 意大利[Yi4 da4 li4]	y	Ø4	心音
心	xin1	heart / mind / intention / center / core / CL:顆|颗[ke1],個|个[ge4]	xi	(e)n1	㇃𠁼
㇃					
𠁼					
音	yin1	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)	y	(e)n1	日立
意	yi4	idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate	y	Ø4	心音
什	shen2	what	sh	(e)n2	亻十
什	shi2	ten (used in fractions, writing checks etc) / assorted / miscellaneous	sh	Ø2	亻十
仁	ren2	humane / kernel	r	(e)n2	二亻
仂	le4	surplus / tithe	l	e4	亻力
仃	ding1	alone	di	(e)ng1	丁亻
仄	ze4	to tilt / narrow / uneasy / oblique tones (in Chinese poetry)	z	e4	人厂
僅	jin3	barely / only / merely	ji	(e)n3	亻堇
仅	jin3	barely / only / merely	ji	(e)n3	亻又
堇	jin3	clay / old variant of 僅|仅[jin3] / violet (plant)	ji	(e)n3	土革
仆	pu1	to fall forward / to fall prostrate	pu	Ø1	亻卜
僕	pu2	servant	pu	Ø2	亻菐
仆	pu2	servant	pu	Ø2	亻卜
菐	pu2	thicket / tedious	pu	Ø2	丵大
仇	qiu2	surname Qiu	qi	ou2	九亻
仇	chou2	hatred / animosity / enmity / foe / enemy / to feel animosity toward (the wealthy, foreigners etc)	ch	ou2	九亻
仇	qiu2	spouse / companion	qi	ou2	九亻
仈	ba1	surname Ba	b	a1	亻八
仉	zhang3	surname of Mencius	zh	ang3	亻几
仉	zhang3	mother	zh	ang3	亻几
今	jin1	today / modern / present / current / this / now	ji	(e)n1	㇇亽
介	jie4	to introduce / to lie between / between / shell / armor	ji	e4	人儿
仌	bing1	old variant of 冰[bing1]	bi	(e)ng1	人
仍	reng2	still / yet / to remain	r	(e)ng2	乃亻
從	cong2	surname Cong	cu	(e)ng2	彳
从	cong2	surname Cong	cu	(e)ng2	人
從	cong1	lax / yielding / unhurried	cu	(e)ng1	彳
从	cong1	lax / yielding / unhurried	cu	(e)ng1	人
從	cong2	from / via / passing through / through (a gap) / past / ever (followed by negative, meaning never) / (formerly pr. [zong4] and related to 縱|纵) to follow / to comply with / to obey / to join / to engage in / adopting some mode of action or attitude / follower / retainer / accessory / accomplice / related by common paternal grandfather or earlier ancestor	cu	(e)ng2	彳
从	cong2	from / via / passing through / through (a gap) / past / ever (followed by negative, meaning never) / (formerly pr. [zong4] and related to 縱|纵) to follow / to comply with / to obey / to join / to engage in / adopting some mode of action or attitude / follower / retainer / accessory / accomplice / related by common paternal grandfather or earlier ancestor	cu	(e)ng2	人
從	zong4	second cousin	zu	(e)ng4	彳
从	zong4	second cousin	zu	(e)ng4	人
仏	fo2	Japanese variant of 佛	f	o2	亻厶
侖	lun2	to arrange	lu	(e)n2	𠕁亼
仑	lun2	to arrange	lu	(e)n2	人匕
𠕁					
崘	lun2	variant of 崙|仑[lun2]	lu	(e)n2	侖山
仑	lun2	variant of 崙|仑[lun2]	lu	(e)n2	人匕
崙	lun2	Kunlun (Karakorum) mountain range in Xinjiang	lu	(e)n2	侖山
仑	lun2	Kunlun (Karakorum) mountain range in Xinjiang	lu	(e)n2	人匕
倉	cang1	barn / granary / storehouse / cabin / hold (in ship)	c	ang1	亼
仓	cang1	barn / granary / storehouse / cabin / hold (in ship)	c	ang1	㔾人
